,1,2,3,4,5,6,7,8,9,normalized,total_demand,total_supply
"(('V_CO', 'morning'), ('V_MO1', 'morning'), ('V_MO4', 'morning'))",0.9082,0.7714,0.3173,0.7221,0.7336,0.3226,101022.0622,16914.9883,0.7286,8.954451239390472,24.630138397216797,40.80261993408203
"(('V_CO', 'morning'), ('V_MO2', 'night'), ('V_MO2', 'morning'))",0.9105,0.7725,0.3167,0.7324,0.736,0.3353,100799.5357,16890.6543,0.7417,8.952646415111763,24.98212432861328,40.87810516357422
"(('V_CO', 'morning'), ('V_MO2', 'night'), ('V_MO3', 'night'))",0.8933,0.6802,0.321,0.6985,0.7267,0.2899,133492.8362,16899.4707,0.7074,8.965580989109176,23.824562072753906,40.136348724365234
"(('V_CO', 'morning'), ('V_MO2', 'night'), ('V_MO3', 'morning'))",0.8938,0.6805,0.325,0.6944,0.73,0.2899,133463.4407,16897.8848,0.7014,8.977613150967235,23.68655014038086,40.09592819213867
"(('V_CO', 'morning'), ('V_MO2', 'night'), ('V_MO4', 'night'))",0.8926,0.6869,0.3212,0.697,0.7273,0.3815,130488.9463,16861.7012,0.6995,8.901178071110493,23.773160934448242,40.0549430847168
"(('V_CO', 'morning'), ('V_MO2', 'night'), ('V_MO4', 'morning'))",0.8956,0.6809,0.3286,0.6969,0.7338,0.2902,133402.052,16886.7598,0.7062,8.988442096639487,23.772186279296875,40.017948150634766
"(('V_CO', 'morning'), ('V_MO2', 'morning'), ('V_MO3', 'night'))",0.8809,0.4192,0.3061,0.6988,0.6828,0.1117,215689.5843,17132.75,0.7122,8.92076118618791,23.836040496826172,38.34257125854492
"(('V_CO', 'morning'), ('V_MO2', 'morning'), ('V_MO3', 'morning'))",0.8814,0.4294,0.307,0.7019,0.6827,0.1113,213539.9197,17134.2969,0.7182,8.923468422605971,23.9425106048584,38.32650375366211
"(('V_CO', 'morning'), ('V_MO2', 'morning'), ('V_MO4', 'night'))",0.8832,0.447,0.3071,0.7033,0.6848,0.1134,208353.6332,17135.1094,0.7202,8.923769226652425,23.9898738861084,38.342628479003906
"(('V_CO', 'morning'), ('V_MO2', 'morning'), ('V_MO4', 'morning'))",0.8822,0.4357,0.308,0.7037,0.684,0.1113,211497.2258,17134.5449,0.7209,8.926476463070486,24.002763748168945,38.32065200805664
"(('V_CO', 'morning'), ('V_MO3', 'night'), ('V_MO3', 'morning'))",0.9105,0.7725,0.3167,0.7324,0.736,0.3353,100799.5357,16890.6543,0.7417,8.952646415111763,24.98212432861328,40.87810516357422
"(('V_CO', 'morning'), ('V_MO3', 'night'), ('V_MO4', 'night'))",0.908,0.7746,0.31,0.7283,0.7303,0.336,100094.5471,16916.5312,0.7356,8.932492543999516,24.84246063232422,40.96499252319336
"(('V_CO', 'morning'), ('V_MO3', 'night'), ('V_MO4', 'morning'))",0.9083,0.7725,0.315,0.7256,0.7332,0.335,100655.0059,16903.9609,0.7321,8.94753274632209,24.749935150146484,40.847442626953125
"(('V_CO', 'morning'), ('V_MO3', 'morning'), ('V_MO4', 'night'))",0.9101,0.7732,0.3129,0.7325,0.7332,0.3353,100316.9465,16905.6426,0.7425,8.941215861346608,24.98589324951172,40.918067932128906
"(('V_CO', 'morning'), ('V_MO3', 'morning'), ('V_MO4', 'morning'))",0.9099,0.7732,0.318,0.7266,0.7364,0.3353,100691.9257,16912.7285,0.7337,8.956556867715634,24.785736083984375,40.83708953857422
"(('V_CO', 'morning'), ('V_MO4', 'night'), ('V_MO4', 'morning'))",0.9105,0.7725,0.3167,0.7324,0.736,0.3353,100799.5357,16890.6543,0.7417,8.952646415111763,24.98212432861328,40.87810516357422
"(('V_MO1', 'night'), ('V_MO1', 'morning'), ('V_MO2', 'night'))",0.9125,0.7027,0.3378,0.7188,0.7606,0.3012,124752.487,16751.9258,0.7348,8.998619838022364,24.51892852783203,41.69647216796875
"(('V_MO1', 'night'), ('V_MO1', 'morning'), ('V_MO2', 'morning'))",0.9235,0.7429,0.3272,0.7484,0.7601,0.3223,111823.6453,16770.6836,0.7656,8.98396887250578,25.529075622558594,42.22970199584961
"(('V_MO1', 'night'), ('V_MO1', 'morning'), ('V_MO3', 'night'))",0.9293,0.7894,0.3329,0.7536,0.7729,0.3389,93686.0453,16772.1797,0.7692,8.986470047849682,25.70516586303711,42.51348114013672
"(('V_MO1', 'night'), ('V_MO1', 'morning'), ('V_MO3', 'morning'))",0.9283,0.7894,0.3322,0.7496,0.77,0.3389,93602.7271,16775.334,0.7649,8.998333495687778,25.567703247070312,42.508182525634766
"(('V_MO1', 'night'), ('V_MO1', 'morning'), ('V_MO4', 'night'))",0.9285,0.7224,0.3305,0.7504,0.7697,0.3149,123716.6937,16792.0293,0.7667,8.994157373522064,25.595890045166016,42.556968688964844
"(('V_MO1', 'night'), ('V_MO1', 'morning'), ('V_MO4', 'morning'))",0.9286,0.7894,0.3319,0.7513,0.7706,0.3392,93540.524,16764.5,0.7674,8.995682660432076,25.626869201660156,42.50118637084961
"(('V_MO1', 'night'), ('V_MO2', 'night'), ('V_MO2', 'morning'))",0.9275,0.789,0.3314,0.7495,0.7691,0.3381,93619.2444,16772.9883,0.7645,8.996584371865413,25.56620979309082,42.49637985229492
"(('V_MO1', 'night'), ('V_MO2', 'night'), ('V_MO3', 'night'))",0.9052,0.6971,0.3329,0.7091,0.7452,0.4509,123462.8667,16592.1934,0.7034,8.819180313061029,24.188129425048828,41.52207565307617
"(('V_MO1', 'night'), ('V_MO2', 'night'), ('V_MO3', 'morning'))",0.9117,0.7172,0.3356,0.7179,0.7583,0.3019,119295.8366,16775.4668,0.7327,9.0,24.488327026367188,41.746761322021484
"(('V_MO1', 'night'), ('V_MO2', 'night'), ('V_MO4', 'night'))",0.91,0.733,0.3332,0.719,0.7556,0.466,111599.1938,16648.6953,0.7239,8.799721627632012,24.52592658996582,41.58959197998047
"(('V_MO1', 'night'), ('V_MO2', 'night'), ('V_MO4', 'morning'))",0.9139,0.7168,0.3367,0.7246,0.7609,0.3022,118989.5774,16765.1973,0.7422,8.99941098187881,24.717437744140625,41.739009857177734
"(('V_MO1', 'night'), ('V_MO2', 'morning'), ('V_MO3', 'night'))",0.9255,0.715,0.3261,0.7533,0.7626,0.311,122508.8313,16805.8672,0.771,8.980921995478202,25.693586349487305,42.3179931640625
