,1,2,3,4,5,6,7,8,9,normalized,total_demand,total_supply
"(('V_TR', 'night'), ('V_TR', 'morning'), ('CV8', 'night'), ('CV12', 'night'))",0.9238,0.7246,0.3262,0.7484,0.7607,0.3142,119191.7573,16783.3398,0.7664,8.98334195487594,25.527061462402344,42.266292572021484
"(('V_TR', 'night'), ('V_TR', 'morning'), ('CV8', 'night'), ('CV12', 'morning'))",0.9236,0.7446,0.3368,0.7458,0.7712,0.5019,110958.7151,16678.4336,0.7593,8.99226730648812,25.440914154052734,42.15715026855469
"(('V_TR', 'night'), ('V_TR', 'morning'), ('CV8', 'morning'), ('CV3', 'night'))",0.9186,0.7605,0.3255,0.738,0.7606,0.5178,103271.6334,16729.2441,0.7518,8.817042647406975,25.17367172241211,42.229488372802734
"(('V_TR', 'night'), ('V_TR', 'morning'), ('CV8', 'morning'), ('CV3', 'morning'))",0.9256,0.6562,0.3321,0.747,0.7705,0.4699,140945.8427,16732.7539,0.7629,8.999311798084001,25.479755401611328,42.25164031982422
"(('V_TR', 'night'), ('V_TR', 'morning'), ('CV8', 'morning'), ('CV12', 'night'))",0.9265,0.7246,0.3297,0.7519,0.7651,0.316,119161.4447,16772.0273,0.7708,8.970305916491972,25.64640235900879,42.243717193603516
"(('V_TR', 'night'), ('V_TR', 'morning'), ('CV8', 'morning'), ('CV12', 'morning'))",0.9281,0.7735,0.3419,0.7561,0.7789,0.5252,98163.5427,16696.125,0.774,8.620162604348312,25.788997650146484,42.14262390136719
"(('V_TR', 'night'), ('V_TR', 'morning'), ('CV3', 'night'), ('CV3', 'morning'))",0.9307,0.7467,0.3356,0.7551,0.7758,0.5019,109742.3487,16743.7441,0.772,8.869349077385612,25.756986618041992,42.255828857421875
"(('V_TR', 'night'), ('V_TR', 'morning'), ('CV3', 'night'), ('CV12', 'night'))",0.9213,0.7175,0.3274,0.7381,0.7617,0.3103,121370.2127,16779.123,0.7538,8.987054973197717,25.175003051757812,42.28157043457031
"(('V_TR', 'night'), ('V_TR', 'morning'), ('CV3', 'night'), ('CV12', 'morning'))",0.9258,0.7598,0.3433,0.7457,0.7781,0.5178,103192.559,16661.2637,0.762,8.801308232746782,25.436830520629883,42.09292221069336
"(('V_TR', 'night'), ('V_TR', 'morning'), ('CV3', 'morning'), ('CV12', 'night'))",0.9233,0.633,0.3298,0.7468,0.7637,0.2871,150879.1459,16750.3691,0.7676,8.989058841682029,25.471797943115234,42.21505355834961
"(('V_TR', 'night'), ('V_TR', 'morning'), ('CV3', 'morning'), ('CV12', 'morning'))",0.9181,0.6664,0.3382,0.7429,0.7686,0.4755,137850.5709,16591.5293,0.761,8.990877597126817,25.341304779052734,42.00521469116211
"(('V_TR', 'night'), ('V_TR', 'morning'), ('CV12', 'night'), ('CV12', 'morning'))",0.9307,0.7467,0.3356,0.7551,0.7758,0.5019,109742.3487,16743.7441,0.772,8.869349077385612,25.756986618041992,42.255828857421875
"(('V_TR', 'night'), ('CV8', 'night'), ('CV8', 'morning'), ('CV3', 'night'))",0.9141,0.5882,0.3167,0.7412,0.7009,0.1578,163673.2828,15361.9043,0.7714,8.850741069198362,25.283248901367188,42.308692932128906
"(('V_TR', 'night'), ('CV8', 'night'), ('CV8', 'morning'), ('CV3', 'morning'))",0.9201,0.6319,0.3269,0.7526,0.7594,0.261,154090.1651,16378.2305,0.7813,8.892251004435463,25.67156982421875,42.34249496459961
"(('V_TR', 'night'), ('CV8', 'night'), ('CV8', 'morning'), ('CV12', 'night'))",0.9298,0.7024,0.3264,0.7697,0.7487,0.236,122901.1407,16974.6855,0.7974,8.74004941121284,26.253976821899414,42.40464782714844
"(('V_TR', 'night'), ('CV8', 'night'), ('CV8', 'morning'), ('CV12', 'morning'))",0.9299,0.6228,0.3412,0.7659,0.7748,0.1965,155249.7872,16523.4668,0.7963,8.743408498890563,26.125165939331055,42.35200119018555
"(('V_TR', 'night'), ('CV8', 'night'), ('CV3', 'night'), ('CV3', 'morning'))",0.9241,0.6474,0.3268,0.7522,0.7612,0.2621,149582.1462,16362.3604,0.7775,8.908871891633869,25.65672492980957,42.350120544433594
"(('V_TR', 'night'), ('CV8', 'night'), ('CV3', 'night'), ('CV12', 'night'))",0.9203,0.6104,0.3185,0.7651,0.6989,0.1803,146689.3369,17016.9785,0.7786,8.85020118832172,26.09889030456543,42.3043212890625
"(('V_TR', 'night'), ('CV8', 'night'), ('CV3', 'night'), ('CV12', 'morning'))",0.9129,0.6055,0.326,0.7438,0.6973,0.1638,152647.5261,15281.1064,0.7725,8.869245118183363,25.369361877441406,42.19597625732422
"(('V_TR', 'night'), ('CV8', 'night'), ('CV3', 'morning'), ('CV12', 'night'))",0.9294,0.6231,0.3286,0.7705,0.7512,0.2085,151441.5781,16950.4023,0.7997,8.739126227986619,26.282123565673828,42.3658447265625
