,"('V_CO', 'day')","('V_CO', 'night')","('V_PE1', 'day')","('V_PE1', 'night')","('V_PE2', 'day')","('V_PE2', 'night')","('CV3', 'day')","('CV3', 'night')",1,2,3,4,5,6,7,8,9
168,1,0,1,0,1,0,0,0,0.5377,0.1124,0.4685,0.3485,0.2959,0.0729,291737.7515,246.2252,0.2748
169,1,0,1,0,1,0,0,1,0.5377,0.125,0.4691,0.3526,0.2912,0.0736,286302.9459,143.2865,0.2547
170,1,0,1,0,1,0,1,0,0.5444,0.1081,0.4829,0.3581,0.3036,0.0726,291737.6981,240.7857,0.2776
171,1,0,1,0,1,0,1,1,0.5427,0.1272,0.4693,0.3476,0.2975,0.0747,284620.2198,146.4827,0.2551
172,1,0,1,0,1,1,0,0,0.538,0.1275,0.4695,0.3432,0.2955,0.074,285375.3506,169.5455,0.2513
173,1,0,1,0,1,1,0,1,0.5399,0.1194,0.4723,0.354,0.2952,0.0743,288458.2929,123.7528,0.2758
174,1,0,1,0,1,1,1,0,0.5326,0.1458,0.4755,0.3352,0.2952,0.0743,279115.4589,163.5127,0.2515
175,1,0,1,0,1,1,1,1,0.541,0.1522,0.4676,0.3421,0.2938,0.0757,275322.0256,146.622,0.2403
176,1,0,1,1,0,0,0,0,0.5447,0.1508,0.4796,0.3525,0.3012,0.0761,276743.8603,152.6707,0.2802
177,1,0,1,1,0,0,0,1,0.5482,0.1272,0.4839,0.3585,0.3039,0.0747,287035.881,177.4522,0.2904
178,1,0,1,1,0,0,1,0,0.533,0.1346,0.4706,0.3449,0.2946,0.0736,284877.8723,159.7126,0.2649
179,1,0,1,1,0,0,1,1,0.5429,0.1152,0.4775,0.3514,0.2983,0.0729,289215.1248,154.2413,0.2814
180,1,0,1,1,0,1,0,0,0.5316,0.1148,0.4787,0.3487,0.2993,0.0729,289580.7285,194.6396,0.2685
181,1,0,1,1,0,1,0,1,0.5411,0.0743,0.4727,0.3474,0.2961,0.0719,304333.2757,177.1702,0.2597
182,1,0,1,1,0,1,1,0,0.5356,0.1469,0.477,0.3483,0.2982,0.0754,277788.3741,188.9529,0.2714
183,1,0,1,1,0,1,1,1,0.539,0.1472,0.4778,0.3499,0.2994,0.0754,277887.5953,163.6509,0.2582
184,1,0,1,1,1,0,0,0,0.5388,0.0838,0.4698,0.3428,0.2987,0.0736,302071.1315,163.7906,0.2525
185,1,0,1,1,1,0,0,1,0.5427,0.1268,0.4771,0.3494,0.3004,0.0754,286842.0766,129.1544,0.2704
186,1,0,1,1,1,0,1,0,0.5451,0.1511,0.4769,0.351,0.3002,0.0775,276588.5544,141.7563,0.265
