,"('V_CO', 'day')","('V_CO', 'night')","('V_PE1', 'day')","('V_PE1', 'night')","('V_PE2', 'day')","('V_PE2', 'night')","('CV3', 'day')","('CV3', 'night')",1,2,3,4,5,6,7,8,9
91,0,1,0,1,1,0,1,1,0.9021,0.7154,0.3322,0.6914,0.7301,0.4371,123454.7598,15539.667,0.6964
92,0,1,0,1,1,1,0,0,0.905,0.7154,0.3347,0.6955,0.7345,0.435,123456.4094,15539.4902,0.7007
93,0,1,0,1,1,1,0,1,0.9051,0.7143,0.3338,0.6976,0.7341,0.435,124063.5792,15540.8896,0.7029
94,0,1,0,1,1,1,1,0,0.9031,0.7143,0.3342,0.6916,0.7319,0.4315,125866.175,15538.3916,0.697
95,0,1,0,1,1,1,1,1,0.9021,0.7246,0.332,0.6912,0.73,0.459,120101.1596,15539.6816,0.6958
96,0,1,1,0,0,0,0,0,0.8981,0.7217,0.335,0.6895,0.7297,0.4667,118895.0002,15325.4795,0.6857
97,0,1,1,0,0,0,0,1,0.9012,0.671,0.3322,0.6976,0.7328,0.2695,138500.5544,15546.5439,0.6975
98,0,1,1,0,0,0,1,0,0.8971,0.6284,0.3336,0.6884,0.7273,0.2966,152741.0678,15311.9893,0.6872
99,0,1,1,0,0,0,1,1,0.8978,0.4822,0.3305,0.6923,0.7274,0.1254,196911.9756,15541.7832,0.6964
100,0,1,1,0,0,1,0,0,0.9001,0.7563,0.3329,0.6922,0.7319,0.4808,109389.769,15538.668,0.6886
101,0,1,1,0,0,1,0,1,0.901,0.7052,0.333,0.6962,0.7329,0.4396,128417.1429,15539.5557,0.6952
102,0,1,1,0,0,1,1,0,0.8987,0.1095,0.332,0.6959,0.7325,0.1074,293415.7093,15538.5459,0.6963
103,0,1,1,0,0,1,1,1,0.8966,0.1173,0.3304,0.6897,0.7295,0.111,289768.2775,15539.7451,0.695
104,0,1,1,0,1,0,0,0,0.899,0.6611,0.3354,0.6918,0.7295,0.2297,139447.8023,15328.4668,0.6919
105,0,1,1,0,1,0,0,1,0.8997,0.7045,0.3311,0.6945,0.7311,0.4297,128641.9852,15539.7842,0.6929
106,0,1,1,0,1,0,1,0,0.8965,0.7136,0.3335,0.6863,0.7264,0.4333,124684.1977,15274.0957,0.6839
107,0,1,1,0,1,0,1,1,0.8987,0.7136,0.3307,0.6923,0.7287,0.4333,124664.4363,15488.4209,0.691
108,0,1,1,0,1,1,0,0,0.9,0.7091,0.3317,0.6925,0.7326,0.4333,126894.298,15538.8066,0.6888
109,0,1,1,0,1,1,0,1,0.9,0.6759,0.3322,0.6942,0.7318,0.4262,137609.1509,15539.6973,0.6929
110,0,1,1,0,1,1,1,0,0.8986,0.7136,0.3316,0.6892,0.729,0.4333,124672.1594,15452.8867,0.6871
111,0,1,1,0,1,1,1,1,0.8992,0.7136,0.3314,0.6928,0.7294,0.4333,124675.4489,15488.335,0.6918
112,0,1,1,1,0,0,0,0,0.8991,0.7069,0.3333,0.6918,0.7315,0.4276,128611.3194,15555.3789,0.6903
113,0,1,1,1,0,0,0,1,0.9004,0.7175,0.3338,0.6959,0.7335,0.435,126621.7767,15545.2588,0.6948
114,0,1,1,1,0,0,1,0,0.8987,0.6932,0.3325,0.692,0.731,0.4561,130272.4123,15541.8691,0.6897
115,0,1,1,1,0,0,1,1,0.9007,0.6844,0.3324,0.6992,0.732,0.2635,135256.4401,15552.9258,0.6999
116,0,1,1,1,0,1,0,0,0.8996,0.646,0.3335,0.6954,0.7323,0.2297,148373.491,15555.5332,0.6934
117,0,1,1,1,0,1,0,1,0.899,0.7242,0.3319,0.694,0.7313,0.4635,121889.5419,15539.4385,0.692
118,0,1,1,1,0,1,1,0,0.9004,0.7136,0.3341,0.6962,0.7336,0.4329,124778.0334,15541.8594,0.6939
119,0,1,1,1,0,1,1,1,0.8996,0.7083,0.3325,0.6967,0.7321,0.4329,127871.4153,15539.627,0.6943
120,0,1,1,1,1,0,0,0,0.8993,0.6823,0.3334,0.6933,0.731,0.2716,134012.5411,15555.5586,0.6918
121,0,1,1,1,1,0,0,1,0.8983,0.7126,0.3313,0.6923,0.7301,0.4294,125355.0648,15539.5547,0.6898
