,"('CV1', 'day')","('CV1', 'night')","('CV6', 'day')","('CV6', 'night')","('CV12', 'day')","('CV12', 'night')","('V_TR', 'day')","('V_TR', 'night')",1,2,3,4,5,6,7,8,9
140,1,0,0,0,1,1,0,0,0.9567,0.851,0.2746,0.8246,0.8474,0.6125,66766.4485,15275.124,0.8455
141,1,0,0,0,1,1,0,1,0.9525,0.8514,0.2629,0.8224,0.8356,0.6132,66658.4715,15337.3555,0.8423
142,1,0,0,0,1,1,1,0,0.9471,0.851,0.2638,0.8,0.8323,0.6189,66733.5123,15416.7002,0.8171
143,1,0,0,0,1,1,1,1,0.9428,0.8545,0.2542,0.7944,0.8205,0.6224,65885.549,15415.7344,0.8098
144,1,0,0,1,0,0,0,0,0.9573,0.702,0.285,0.8311,0.8505,0.2938,106918.286,15477.6533,0.8609
145,1,0,0,1,0,0,0,1,0.9532,0.7041,0.2815,0.8245,0.8433,0.2941,106455.8574,15397.2998,0.8532
146,1,0,0,1,0,0,1,0,0.9545,0.733,0.2886,0.8195,0.8524,0.3057,99562.9937,15378.4668,0.8448
147,1,0,0,1,0,0,1,1,0.9503,0.7274,0.2855,0.8118,0.8459,0.3033,101527.8695,15295.3545,0.8352
148,1,0,0,1,0,1,0,0,0.9554,0.7115,0.274,0.8256,0.844,0.2917,104710.8776,15772.3984,0.8551
149,1,0,0,1,0,1,0,1,0.9507,0.7002,0.262,0.8192,0.8299,0.2931,107368.7515,15791.71,0.8497
150,1,0,0,1,0,1,1,0,0.9525,0.7126,0.2739,0.8131,0.8443,0.2948,104497.8031,15785.6797,0.8379
151,1,0,0,1,0,1,1,1,0.9468,0.7087,0.2609,0.8025,0.8299,0.2945,105269.4912,15768.4688,0.8238
152,1,0,0,1,1,0,0,0,0.9573,0.7644,0.2804,0.8296,0.8485,0.3262,92368.7323,15498.4268,0.8526
153,1,0,0,1,1,0,0,1,0.9541,0.7644,0.2781,0.8263,0.8434,0.3262,92297.0129,15470.7598,0.8488
154,1,0,0,1,1,0,1,0,0.9499,0.8154,0.2744,0.8069,0.8397,0.3871,80545.2228,15533.9062,0.8271
155,1,0,0,1,1,0,1,1,0.9473,0.8154,0.2718,0.8039,0.8354,0.3864,80623.1647,15509.3818,0.8234
156,1,0,0,1,1,1,0,0,0.9572,0.8637,0.272,0.8242,0.8469,0.6192,63132.1501,15774.1719,0.8448
157,1,0,0,1,1,1,0,1,0.9518,0.8637,0.2585,0.8202,0.8327,0.6199,63096.3382,15817.1543,0.8392
158,1,0,0,1,1,1,1,0,0.9472,0.8658,0.2609,0.7997,0.8316,0.6287,62612.3836,15959.5645,0.8167
