,"('CV1', 'day')","('CV1', 'night')","('CV6', 'day')","('CV6', 'night')","('CV12', 'day')","('CV12', 'night')","('V_TR', 'day')","('V_TR', 'night')",1,2,3,4,5,6,7,8,9
136,1,0,0,0,1,0,0,0,0.9514,0.7298,0.2809,0.8139,0.8314,0.2864,107428.8246,15024.6426,0.8434
137,1,0,0,0,1,0,0,1,0.951,0.7355,0.2815,0.8165,0.8315,0.2892,105634.3526,14962.1045,0.8459
138,1,0,0,0,1,0,1,0,0.9463,0.7999,0.2782,0.7938,0.8284,0.3625,86935.3898,15079.8848,0.8167
139,1,0,0,0,1,0,1,1,0.9461,0.7999,0.2784,0.7958,0.8278,0.3625,87007.863,14998.0801,0.8197
140,1,0,0,0,1,1,0,0,0.9524,0.8182,0.2775,0.8099,0.8352,0.5699,81054.3782,15236.4229,0.8359
141,1,0,0,0,1,1,0,1,0.9503,0.8182,0.2682,0.8102,0.8265,0.5699,81033.7126,15315.8398,0.8362
142,1,0,0,0,1,1,1,0,0.9452,0.8373,0.2694,0.789,0.8244,0.5942,72244.3596,15420.0215,0.8109
143,1,0,0,0,1,1,1,1,0.9415,0.8397,0.2585,0.7854,0.8119,0.5932,71586.4296,15436.5039,0.8061
144,1,0,0,1,0,0,0,0,0.9542,0.6855,0.2901,0.8222,0.8393,0.2631,114184.7514,15468.0762,0.8696
145,1,0,0,1,0,0,0,1,0.9525,0.6957,0.2873,0.8211,0.8364,0.2673,110590.9985,15414.1543,0.8639
146,1,0,0,1,0,0,1,0,0.9522,0.7129,0.2913,0.8046,0.842,0.2733,107610.5623,15427.916,0.8337
147,1,0,0,1,0,0,1,1,0.9508,0.7196,0.2905,0.8063,0.8397,0.2758,105230.8022,15332.958,0.8356
148,1,0,0,1,0,1,0,0,0.9519,0.6932,0.2787,0.8124,0.8329,0.267,111015.0141,15694.0879,0.8519
149,1,0,0,1,0,1,0,1,0.9437,0.6876,0.2624,0.7996,0.8117,0.2628,112716.7738,15670.9502,0.8394
150,1,0,0,1,0,1,1,0,0.9493,0.7161,0.2792,0.7998,0.8346,0.2747,106184.7198,15774.4062,0.8266
151,1,0,0,1,0,1,1,1,0.9438,0.7147,0.2646,0.7903,0.8196,0.2744,106672.5299,15767.9834,0.8142
152,1,0,0,1,1,0,0,0,0.952,0.7295,0.2797,0.8154,0.832,0.2874,107460.3893,15473.5088,0.8451
153,1,0,0,1,1,0,0,1,0.9524,0.7386,0.2817,0.8186,0.8337,0.2899,105150.2734,15408.2471,0.8485
154,1,0,0,1,1,0,1,0,0.947,0.8024,0.2752,0.7958,0.8287,0.3614,86415.8369,15651.6572,0.8195
155,1,0,0,1,1,0,1,1,0.9471,0.8024,0.2758,0.7987,0.8286,0.3614,86469.1607,15574.7314,0.8233
156,1,0,0,1,1,1,0,0,0.9575,0.8306,0.2803,0.8198,0.8428,0.5756,77592.9156,15641.918,0.8482
157,1,0,0,1,1,1,0,1,0.9529,0.8316,0.2671,0.8166,0.8294,0.5791,77195.0798,15665.3438,0.8439
158,1,0,0,1,1,1,1,0,0.9423,0.8514,0.2636,0.7832,0.8185,0.6013,68211.6009,15964.8467,0.8023
159,1,0,0,1,1,1,1,1,0.9417,0.851,0.2562,0.7837,0.8114,0.6013,68383.2177,15955.3555,0.8037
160,1,0,1,0,0,0,0,0,0.9546,0.6904,0.2896,0.8214,0.8407,0.2645,112822.1458,16094.9219,0.8627
161,1,0,1,0,0,0,0,1,0.9524,0.6911,0.2879,0.82,0.8371,0.2642,112690.4999,16026.7139,0.8592
162,1,0,1,0,0,0,1,0,0.9519,0.7189,0.2893,0.8044,0.8411,0.2751,106035.2618,16145.2822,0.8323
163,1,0,1,0,0,0,1,1,0.9512,0.7133,0.2891,0.8077,0.8398,0.2733,107503.7829,16046.1895,0.8362
164,1,0,1,0,0,1,0,0,0.9504,0.6936,0.2776,0.808,0.8292,0.2628,111508.8036,16320.4873,0.8504
165,1,0,1,0,0,1,0,1,0.9464,0.6897,0.2643,0.8058,0.8166,0.2621,112789.6141,16240.9922,0.847
166,1,0,1,0,0,1,1,0,0.9515,0.7147,0.2803,0.8068,0.838,0.274,106620.74,16476.1387,0.8344
167,1,0,1,0,0,1,1,1,0.9466,0.7136,0.2683,0.7976,0.824,0.2733,107293.5139,16460.6855,0.8227
168,1,0,1,0,1,0,0,0,0.9527,0.7284,0.2786,0.8157,0.8327,0.2864,107863.2733,16149.6582,0.845
169,1,0,1,0,1,0,0,1,0.9516,0.7482,0.2792,0.8182,0.8323,0.3033,99060.044,16107.5723,0.8469
170,1,0,1,0,1,0,1,0,0.95,0.7971,0.2753,0.8005,0.8325,0.3621,87576.4684,16339.0449,0.8259
171,1,0,1,0,1,0,1,1,0.9464,0.7971,0.2701,0.7969,0.8254,0.3621,87306.3585,16313.1348,0.8207
172,1,0,1,0,1,1,0,0,0.9517,0.8168,0.2714,0.8074,0.8333,0.5706,81490.4246,16292.3701,0.8317
173,1,0,1,0,1,1,0,1,0.9523,0.8179,0.2648,0.8169,0.8288,0.5734,81128.038,16418.2637,0.8435
174,1,0,1,0,1,1,1,0,0.9439,0.839,0.2615,0.7871,0.8206,0.5939,71613.7859,16606.1621,0.8069
175,1,0,1,0,1,1,1,1,0.9394,0.8383,0.2503,0.7801,0.8072,0.5932,71822.4238,16605.7734,0.7977
176,1,0,1,1,0,0,0,0,0.9572,0.6897,0.2893,0.8259,0.8446,0.2645,112927.3442,16651.5,0.8666
177,1,0,1,1,0,0,0,1,0.9525,0.6333,0.2864,0.8217,0.8374,0.2592,125974.3308,16539.1582,0.86
178,1,0,1,1,0,0,1,0,0.9538,0.7133,0.2894,0.8071,0.8438,0.2737,107316.9123,16676.502,0.8362
179,1,0,1,1,0,0,1,1,0.9517,0.7168,0.2886,0.806,0.8403,0.2769,105260.0888,16553.9258,0.8348
180,1,0,1,1,0,1,0,0,0.9505,0.6992,0.2752,0.8097,0.8286,0.2681,110030.4182,16858.6934,0.8514
181,1,0,1,1,0,1,0,1,0.9472,0.696,0.2622,0.8085,0.817,0.267,110518.332,16867.2168,0.8473
182,1,0,1,1,0,1,1,0,0.9516,0.7175,0.278,0.803,0.8368,0.2751,105976.2841,17022.9141,0.8305
183,1,0,1,1,0,1,1,1,0.9455,0.7147,0.2628,0.7933,0.8205,0.274,106818.461,17026.0938,0.8178
184,1,0,1,1,1,0,0,0,0.9536,0.7281,0.2797,0.8165,0.8341,0.2839,108197.1949,16594.0645,0.8462
185,1,0,1,1,1,0,0,1,0.9525,0.7341,0.2783,0.8188,0.8326,0.2892,106101.644,16576.1328,0.8478
186,1,0,1,1,1,0,1,0,0.9495,0.8024,0.2732,0.7992,0.8308,0.3614,86483.4203,16894.9512,0.8242
187,1,0,1,1,1,0,1,1,0.9482,0.8024,0.2715,0.7991,0.8279,0.3614,86539.3871,16842.0137,0.8239
188,1,0,1,1,1,1,0,0,0.9578,0.8309,0.2782,0.8188,0.8426,0.5798,77493.2793,16666.3086,0.8464
189,1,0,1,1,1,1,0,1,0.9519,0.832,0.2631,0.8143,0.8267,0.583,77113.4806,16867.8438,0.8401
190,1,0,1,1,1,1,1,0,0.9462,0.8556,0.2639,0.7897,0.8236,0.6076,66153.716,17212.0645,0.8111
191,1,0,1,1,1,1,1,1,0.9436,0.8535,0.254,0.7875,0.8131,0.6058,66768.2114,17203.7949,0.8085
192,1,1,0,0,0,0,0,0,0.9529,0.6862,0.2918,0.8192,0.8377,0.2635,113873.6652,14972.9834,0.8658
193,1,1,0,0,0,0,0,1,0.9493,0.6749,0.2864,0.8145,0.8308,0.2673,114610.4367,14911.2627,0.8575
194,1,1,0,0,0,0,1,0,0.951,0.7179,0.2942,0.8031,0.8417,0.2754,105643.4949,14884.166,0.831
195,1,1,0,0,0,0,1,1,0.9493,0.7189,0.2911,0.8045,0.838,0.2754,105385.2298,14824.5186,0.8324
196,1,1,0,0,0,1,0,0,0.9501,0.6964,0.279,0.8102,0.8287,0.267,110610.9673,15243.3672,0.8518
197,1,1,0,0,0,1,0,1,0.945,0.6932,0.2657,0.8032,0.8145,0.2652,111414.8158,15264.2539,0.8444
198,1,1,0,0,0,1,1,0,0.95,0.7133,0.2841,0.8018,0.837,0.2733,107307.4545,15245.6777,0.8286
199,1,1,0,0,0,1,1,1,0.9472,0.7094,0.2732,0.8007,0.8267,0.2716,108791.0165,15246.5205,0.8273
200,1,1,0,0,1,0,0,0,0.9515,0.7291,0.2808,0.814,0.8315,0.2864,107620.9645,15048.1143,0.8435
201,1,1,0,0,1,0,0,1,0.9499,0.7344,0.2785,0.8136,0.8288,0.2892,105836.878,15022.6133,0.8422
202,1,1,0,0,1,0,1,0,0.9468,0.8024,0.2781,0.7956,0.8293,0.3614,86490.9542,15113.5576,0.819
