,"('V_CO', 'day')","('V_CO', 'night')","('V_G1', 'day')","('V_G1', 'night')","('V_G2', 'day')","('V_G2', 'night')","('V_G3', 'day')","('V_G3', 'night')",1,2,3,4,5,6,7,8,9
108,0,1,1,0,1,1,0,0,0.9182,0.8228,0.262,0.7433,0.7751,0.5879,79846.1906,16338.8496,0.7484
109,0,1,1,0,1,1,0,1,0.9175,0.8228,0.2604,0.7426,0.7725,0.5879,79832.2919,16338.8018,0.7476
110,0,1,1,0,1,1,1,0,0.9178,0.771,0.2608,0.7427,0.7729,0.5125,103020.7437,16184.5518,0.7469
111,0,1,1,0,1,1,1,1,0.917,0.771,0.2593,0.7419,0.7703,0.5125,103020.2711,16184.5107,0.746
112,0,1,1,1,0,0,0,0,0.9127,0.8404,0.2653,0.7258,0.7799,0.6097,72478.0904,16953.3516,0.7372
113,0,1,1,1,0,0,0,1,0.912,0.8404,0.2631,0.725,0.7759,0.6097,72443.0259,16936.2617,0.7354
114,0,1,1,1,0,0,1,0,0.9182,0.8221,0.2627,0.7424,0.7765,0.5893,80315.5186,16337.1885,0.7488
115,0,1,1,1,0,0,1,1,0.9178,0.8225,0.261,0.7422,0.7732,0.5896,80299.5249,16319.8555,0.7484
116,0,1,1,1,0,1,0,0,0.9131,0.8397,0.2657,0.7258,0.7801,0.6097,72559.5513,16937.041,0.7363
117,0,1,1,1,0,1,0,1,0.9128,0.8394,0.2638,0.7254,0.7774,0.6097,72586.7866,16936.9277,0.7358
118,0,1,1,1,0,1,1,0,0.9185,0.8218,0.2629,0.7422,0.7765,0.5889,80355.3644,16320.7139,0.7475
119,0,1,1,1,0,1,1,1,0.9186,0.8218,0.2616,0.7427,0.7746,0.5889,80339.4897,16269.0527,0.7488
120,0,1,1,1,1,0,0,0,0.9189,0.8225,0.2627,0.7433,0.7766,0.5882,79845.9953,16337.9766,0.7493
121,0,1,1,1,1,0,0,1,0.9185,0.8228,0.261,0.7431,0.7733,0.5879,79836.8738,16303.4844,0.7488
122,0,1,1,1,1,0,1,0,0.9195,0.8214,0.2624,0.7457,0.7762,0.5875,80250.8674,16286.5293,0.7511
123,0,1,1,1,1,0,1,1,0.917,0.771,0.2589,0.7398,0.7694,0.5118,103022.4905,16200.667,0.743
124,0,1,1,1,1,1,0,0,0.9187,0.8221,0.2625,0.742,0.7757,0.5875,79876.7467,16304.3672,0.7462
125,0,1,1,1,1,1,0,1,0.9183,0.8221,0.2607,0.7411,0.773,0.5858,80102.3974,16304.2061,0.7452
126,0,1,1,1,1,1,1,0,0.9178,0.771,0.2609,0.7404,0.7728,0.5118,103026.1181,16201.5254,0.7429
127,0,1,1,1,1,1,1,1,0.9179,0.771,0.2596,0.7407,0.7709,0.5118,103023.6197,16184.1641,0.7439
128,1,0,0,0,0,0,0,0,0.8702,0.8098,0.2574,0.6751,0.7957,0.6044,89011.5525,17263.1133,0.721
129,1,0,0,0,0,0,0,1,0.8903,0.8094,0.2565,0.6837,0.7999,0.6044,89056.6598,17269.3145,0.7259
130,1,0,0,0,0,0,1,0,0.8985,0.8024,0.243,0.733,0.7779,0.5967,92542.7348,17022.6797,0.7557
131,1,0,0,0,0,0,1,1,0.9184,0.844,0.245,0.7449,0.7826,0.6002,71727.2793,17029.7344,0.7613
132,1,0,0,0,0,1,0,0,0.8915,0.8094,0.2575,0.6839,0.8025,0.6044,89062.412,17270.1094,0.726
133,1,0,0,0,0,1,0,1,0.8914,0.8094,0.2568,0.6845,0.8011,0.6044,89064.9578,17270.0117,0.7265
134,1,0,0,0,0,1,1,0,0.92,0.8433,0.2451,0.7449,0.7843,0.6002,71843.9716,17026.3125,0.7602
135,1,0,0,0,0,1,1,1,0.9198,0.844,0.2454,0.746,0.7837,0.6002,71716.8542,17026.0742,0.7617
136,1,0,0,0,1,0,0,0,0.898,0.7999,0.2392,0.7357,0.7736,0.5911,93335.0164,17121.9062,0.7524
137,1,0,0,0,1,0,0,1,0.9195,0.8207,0.2434,0.752,0.7816,0.5918,81948.2251,17116.1113,0.7643
138,1,0,0,0,1,0,1,0,0.9002,0.7989,0.24,0.7411,0.7743,0.5879,94089.7346,17045.1465,0.7569
139,1,0,0,0,1,0,1,1,0.9193,0.8443,0.242,0.7525,0.7788,0.5918,71524.0241,17065.2051,0.7616
140,1,0,0,0,1,1,0,0,0.9197,0.8401,0.2425,0.7498,0.7805,0.5942,72934.2739,17116.9844,0.7592
141,1,0,0,0,1,1,0,1,0.921,0.8401,0.2438,0.7541,0.7826,0.5942,73144.0855,17116.5566,0.7657
142,1,0,0,0,1,1,1,0,0.9212,0.8433,0.2426,0.7545,0.7809,0.5918,71790.5385,17053.957,0.7633
143,1,0,0,0,1,1,1,1,0.92,0.8443,0.2417,0.7531,0.7787,0.5918,71544.2511,17048.4844,0.7613
144,1,0,0,1,0,0,0,0,0.894,0.8098,0.258,0.6858,0.8036,0.6044,88995.0693,17268.9746,0.7281
145,1,0,0,1,0,0,0,1,0.8917,0.8094,0.2567,0.6845,0.8011,0.6044,89066.4223,17250.9805,0.7266
146,1,0,0,1,0,0,1,0,0.9201,0.8411,0.2457,0.7453,0.7847,0.5999,73461.1341,17025.7734,0.7612
147,1,0,0,1,0,0,1,1,0.9193,0.8436,0.2445,0.7452,0.7829,0.6002,71951.6159,17007.5234,0.7605
148,1,0,0,1,0,1,0,0,0.8927,0.8094,0.2581,0.6854,0.8037,0.6044,89065.234,17270.0352,0.7276
149,1,0,0,1,0,1,0,1,0.8919,0.8098,0.2564,0.6847,0.8012,0.6041,89015.8752,17270.5684,0.7267
150,1,0,0,1,0,1,1,0,0.92,0.839,0.2447,0.745,0.7842,0.5988,73800.0554,17029.8887,0.7599
151,1,0,0,1,0,1,1,1,0.92,0.8436,0.2445,0.7455,0.7833,0.6002,72117.6585,17032.0547,0.7608
152,1,0,0,1,1,0,0,0,0.9197,0.838,0.2426,0.7506,0.7814,0.5942,74001.3384,17116.6582,0.7615
153,1,0,0,1,1,0,0,1,0.9189,0.8404,0.2416,0.7492,0.7792,0.5942,72818.453,17098.2051,0.7587
154,1,0,0,1,1,0,1,0,0.9204,0.8429,0.2422,0.7527,0.7801,0.5918,72388.6524,17050.9453,0.7617
155,1,0,0,1,1,0,1,1,0.9199,0.8443,0.2413,0.7523,0.7786,0.5918,71483.3764,17029.623,0.7604
156,1,0,0,1,1,1,0,0,0.9196,0.8404,0.242,0.7493,0.7801,0.5942,72814.7143,17117.2695,0.7582
157,1,0,0,1,1,1,0,1,0.9189,0.8404,0.2413,0.7489,0.7785,0.5935,72825.2396,17117.1484,0.7578
158,1,0,0,1,1,1,1,0,0.9213,0.8443,0.2423,0.7539,0.7806,0.5918,71448.4426,17051.2148,0.7618
159,1,0,0,1,1,1,1,1,0.9203,0.8443,0.2415,0.7525,0.7786,0.5918,71558.0289,17048.3418,0.7605
160,1,0,1,0,0,0,0,0,0.8946,0.8045,0.2418,0.7243,0.7773,0.5949,91625.1287,17133.0059,0.7485
161,1,0,1,0,0,0,0,1,0.9153,0.8313,0.2448,0.7372,0.7835,0.5974,76160.7451,17162.4336,0.7568
162,1,0,1,0,0,0,1,0,0.8994,0.7999,0.2394,0.7418,0.7744,0.5893,93725.4412,17101.3281,0.7604
163,1,0,1,0,0,0,1,1,0.9214,0.8433,0.2439,0.7561,0.7825,0.5932,71883.2569,17081.3691,0.7696
164,1,0,1,0,0,1,0,0,0.9169,0.8151,0.2452,0.737,0.785,0.5953,86101.5313,17116.5703,0.7556
165,1,0,1,0,0,1,0,1,0.9159,0.808,0.2445,0.7366,0.7832,0.5949,90607.5818,17120.7891,0.7551
166,1,0,1,0,0,1,1,0,0.9216,0.8433,0.2427,0.7537,0.7818,0.5935,71842.3636,17067.6133,0.7648
167,1,0,1,0,0,1,1,1,0.9209,0.8433,0.2423,0.7535,0.7804,0.5935,71798.1534,17067.6562,0.7645
168,1,0,1,0,1,0,0,0,0.901,0.7999,0.2377,0.7475,0.7745,0.5893,93782.1763,17036.3906,0.765
169,1,0,1,0,1,0,0,1,0.9231,0.8426,0.2435,0.7638,0.7841,0.5932,72388.585,17084.2188,0.7771
170,1,0,1,0,1,0,1,0,0.9029,0.7985,0.2397,0.7508,0.7771,0.5879,94263.7834,17014.1797,0.7697
171,1,0,1,0,1,0,1,1,0.9231,0.8433,0.2431,0.7635,0.7831,0.5918,71612.3785,17049.9395,0.7761
172,1,0,1,0,1,1,0,0,0.9236,0.8422,0.243,0.7633,0.7838,0.5932,72950.2005,17070.5449,0.7753
173,1,0,1,0,1,1,0,1,0.9234,0.8422,0.243,0.7638,0.7834,0.5932,72402.0739,17084.7266,0.7762
174,1,0,1,0,1,1,1,0,0.9258,0.8433,0.2449,0.7658,0.7864,0.5918,71605.7897,17052.1289,0.7784
175,1,0,1,0,1,1,1,1,0.925,0.8433,0.2444,0.7651,0.7849,0.5918,71599.7914,17049.3516,0.7776
176,1,0,1,1,0,0,0,0,0.9176,0.8299,0.246,0.7379,0.7865,0.5974,76397.5836,17164.9219,0.7579
177,1,0,1,1,0,0,0,1,0.9151,0.8302,0.2435,0.7358,0.782,0.5974,76378.3676,17078.5098,0.7536
178,1,0,1,1,0,0,1,0,0.9209,0.8404,0.2425,0.7526,0.7815,0.5928,72400.0325,17064.7129,0.7642
179,1,0,1,1,0,0,1,1,0.9202,0.8433,0.2417,0.7521,0.7796,0.5935,71793.2818,17046.2656,0.7627
180,1,0,1,1,0,1,0,0,0.9173,0.8313,0.2454,0.7374,0.7854,0.5974,76204.167,17113.7227,0.7557
181,1,0,1,1,0,1,0,1,0.9161,0.8292,0.2442,0.7361,0.7828,0.5974,77591.4898,17113.7773,0.7538
182,1,0,1,1,0,1,1,0,0.9234,0.8411,0.2444,0.7569,0.7848,0.5928,72041.1493,17064.3242,0.7696
183,1,0,1,1,0,1,1,1,0.9226,0.8433,0.2436,0.7568,0.7831,0.5935,71792.673,17064.3477,0.7696
184,1,0,1,1,1,0,0,0,0.923,0.8422,0.2427,0.7624,0.7834,0.5932,72603.6323,17067.5605,0.7749
185,1,0,1,1,1,0,0,1,0.9239,0.8426,0.2433,0.7644,0.7844,0.5932,72387.9135,17065.7383,0.7774
186,1,0,1,1,1,0,1,0,0.9243,0.8418,0.2438,0.7639,0.7848,0.5914,72415.9021,17049.8398,0.7769
187,1,0,1,1,1,0,1,1,0.925,0.8433,0.2443,0.765,0.7851,0.5918,71604.3248,17030.5469,0.7776
188,1,0,1,1,1,1,0,0,0.924,0.8426,0.2433,0.7631,0.7841,0.5932,72390.5867,17067.5918,0.7749
189,1,0,1,1,1,1,0,1,0.9239,0.8426,0.243,0.7639,0.7837,0.5932,72391.2247,17101.6074,0.7762
190,1,0,1,1,1,1,1,0,0.9256,0.8214,0.2445,0.7652,0.7859,0.5896,83975.5819,17066.7109,0.7776
191,1,0,1,1,1,1,1,1,0.925,0.8433,0.2438,0.7649,0.7843,0.5921,71557.1588,17066.6289,0.7772
192,1,1,0,0,0,0,0,0,0.8859,0.8225,0.2657,0.6949,0.8323,0.6474,83891.415,17237.8555,0.7512
193,1,1,0,0,0,0,0,1,0.9086,0.8204,0.2644,0.7044,0.8358,0.6323,85275.1141,17247.5566,0.7624
194,1,1,0,0,0,0,1,0,0.9188,0.8077,0.2533,0.7674,0.8165,0.6041,90528.0965,17257.2305,0.8109
195,1,1,0,0,0,0,1,1,0.9401,0.8538,0.2545,0.7796,0.8205,0.6111,67073.3873,17228.8281,0.8141
196,1,1,0,0,0,1,0,0,0.9113,0.8211,0.2678,0.7075,0.8423,0.6368,84822.0726,17249.3516,0.7642
197,1,1,0,0,0,1,0,1,0.9096,0.8207,0.2654,0.7055,0.8383,0.64,84730.6726,17249.6172,0.7626
198,1,1,0,0,0,1,1,0,0.9424,0.8531,0.2565,0.7799,0.8248,0.6094,67475.7266,17230.877,0.813
199,1,1,0,0,0,1,1,1,0.9412,0.8531,0.2544,0.7782,0.821,0.6094,67504.4658,17230.9082,0.8109
200,1,1,0,0,1,0,0,0,0.9208,0.8084,0.2495,0.7792,0.8127,0.6044,90526.7997,17230.416,0.8158
201,1,1,0,0,1,0,0,1,0.9419,0.8503,0.252,0.7889,0.8174,0.6066,69217.9948,17234.9766,0.8169
202,1,1,0,0,1,0,1,0,0.9228,0.807,0.2506,0.7842,0.8143,0.6041,90954.3403,17230.3164,0.8205
203,1,1,0,0,1,0,1,1,0.9418,0.8514,0.2506,0.791,0.8148,0.6062,68251.9901,17235.6855,0.8166
204,1,1,0,0,1,1,0,0,0.9458,0.8503,0.2561,0.7927,0.8245,0.6066,69228.7318,17234.8105,0.82
205,1,1,0,0,1,1,0,1,0.9459,0.8503,0.2552,0.7938,0.8232,0.6066,69219.8826,17234.5469,0.8221
206,1,1,0,0,1,1,1,0,0.9454,0.8514,0.2542,0.7959,0.8219,0.6062,68284.8729,17236.8633,0.8213
207,1,1,0,0,1,1,1,1,0.9444,0.8514,0.2527,0.7931,0.8186,0.6062,68295.3639,17236.3145,0.818
208,1,1,0,1,0,0,0,0,0.9126,0.8204,0.2683,0.7079,0.8439,0.6337,85109.9076,17247.9336,0.7654
209,1,1,0,1,0,0,0,1,0.9111,0.8207,0.2652,0.7062,0.8386,0.64,84726.4569,17248.9492,0.7634
210,1,1,0,1,0,0,1,0,0.9439,0.8542,0.2581,0.7817,0.8277,0.6115,66927.4059,17228.9531,0.8164
