,"('V_CO', 'day')","('V_CO', 'night')","('V_MV1', 'day')","('V_MV1', 'night')","('V_MV2', 'day')","('V_MV2', 'night')","('CV7', 'day')","('CV7', 'night')","('CV9', 'day')","('CV9', 'night')",1,2,3,4,5,6,7,8,9
107,0,0,0,1,1,0,1,0,1,1,0.8623,0.6675,0.3335,0.6281,0.6624,0.3818,142772.4314,15188.3105,0.6014
108,0,0,0,1,1,0,1,1,0,0,0.854,0.6654,0.3304,0.6248,0.6609,0.3853,146387.3306,15205.8428,0.5928
109,0,0,0,1,1,0,1,1,0,1,0.8544,0.639,0.331,0.6246,0.6613,0.3589,151846.9301,15207.8857,0.5939
110,0,0,0,1,1,0,1,1,1,0,0.8616,0.6562,0.3298,0.6284,0.6614,0.3054,147439.0464,15205.8359,0.6038
111,0,0,0,1,1,0,1,1,1,1,0.862,0.6636,0.3304,0.6291,0.6624,0.3818,144517.1766,15205.8584,0.603
112,0,0,0,1,1,1,0,0,0,0,0.8355,0.6506,0.3359,0.6167,0.6598,0.3832,151639.7267,15206.0879,0.5675
113,0,0,0,1,1,1,0,0,0,1,0.837,0.6629,0.333,0.6192,0.6631,0.4061,148476.7871,15240.2266,0.57
114,0,0,0,1,1,1,0,0,1,0,0.8594,0.6636,0.3331,0.6263,0.6592,0.3822,144411.4271,15206.0869,0.5997
115,0,0,0,1,1,1,0,0,1,1,0.8603,0.6689,0.3304,0.6276,0.6614,0.3843,141232.0283,15205.9268,0.6013
116,0,0,0,1,1,1,0,1,0,0,0.8371,0.6608,0.3332,0.6192,0.6628,0.3839,148557.7669,15240.1592,0.5704
117,0,0,0,1,1,1,0,1,0,1,0.8372,0.6608,0.3327,0.6191,0.6629,0.3839,148558.7288,15240.1318,0.5703
118,0,0,0,1,1,1,0,1,1,0,0.8603,0.6682,0.3301,0.6277,0.6615,0.3822,142422.3763,15205.8643,0.6015
119,0,0,0,1,1,1,0,1,1,1,0.8621,0.6988,0.3305,0.6315,0.6641,0.4251,131641.865,15211.0684,0.6044
120,0,0,0,1,1,1,1,0,0,0,0.8541,0.6788,0.3346,0.6257,0.6601,0.3927,140182.8099,15215.8916,0.5927
121,0,0,0,1,1,1,1,0,0,1,0.8538,0.671,0.3309,0.6245,0.6607,0.3889,142667.8151,15223.0859,0.5925
122,0,0,0,1,1,1,1,0,1,0,0.8614,0.6685,0.3336,0.6293,0.6605,0.3822,142606.8074,15215.9551,0.6032
123,0,0,0,1,1,1,1,0,1,1,0.8624,0.6685,0.3308,0.6307,0.6628,0.3818,142456.7092,15215.7852,0.6051
124,0,0,0,1,1,1,1,1,0,0,0.8541,0.6717,0.3305,0.6246,0.6608,0.3864,141445.9811,15205.8623,0.5928
125,0,0,0,1,1,1,1,1,0,1,0.855,0.6795,0.3306,0.6271,0.6623,0.3927,139528.3165,15215.749,0.5946
126,0,0,0,1,1,1,1,1,1,0,0.8616,0.6573,0.3298,0.6285,0.6618,0.3808,146083.7574,15205.8604,0.6033
127,0,0,0,1,1,1,1,1,1,1,0.8624,0.6671,0.33,0.63,0.6628,0.3818,143307.7282,15205.834,0.6043
128,0,0,1,0,0,0,0,0,0,0,0.8579,0.6411,0.3284,0.6589,0.6805,0.3751,154772.4348,15205.9092,0.658
129,0,0,1,0,0,0,0,0,0,1,0.8581,0.6386,0.3283,0.6598,0.6807,0.3829,156499.6544,15205.9111,0.6583
130,0,0,1,0,0,0,0,0,1,0,0.8578,0.6379,0.3288,0.6589,0.6804,0.3751,155205.2738,15205.9033,0.6579
131,0,0,1,0,0,0,0,0,1,1,0.8578,0.6418,0.3288,0.6588,0.6804,0.3758,154345.67,15205.9072,0.6578
132,0,0,1,0,0,0,0,1,0,0,0.8729,0.6714,0.33,0.6623,0.6864,0.3801,141603.4044,15206.2998,0.655
133,0,0,1,0,0,0,0,1,0,1,0.8727,0.6337,0.33,0.6617,0.6861,0.3283,151680.5542,15206.3047,0.6551
134,0,0,1,0,0,0,0,1,1,0,0.8728,0.6499,0.3304,0.6621,0.6861,0.3399,148011.7365,15206.3027,0.655
135,0,0,1,0,0,0,0,1,1,1,0.8729,0.6714,0.3305,0.6622,0.6862,0.3808,141571.1348,15206.3037,0.6549
136,0,0,1,0,0,0,1,0,0,0,0.8625,0.6516,0.323,0.6688,0.6847,0.3811,151368.4489,15223.0576,0.6692
137,0,0,1,0,0,0,1,0,0,1,0.863,0.6897,0.3226,0.6702,0.6855,0.4273,137111.5877,15232.7715,0.6699
138,0,0,1,0,0,0,1,0,1,0,0.862,0.6516,0.3229,0.6676,0.6839,0.3811,151334.3915,15223.0576,0.6678
139,0,0,1,0,0,0,1,0,1,1,0.862,0.6495,0.3228,0.6676,0.6839,0.3808,151877.6051,15223.0596,0.6678
140,0,0,1,0,0,0,1,1,0,0,0.8777,0.6802,0.3246,0.6724,0.6908,0.3853,138854.7343,15209.3389,0.6669
141,0,0,1,0,0,0,1,1,0,1,0.8778,0.6939,0.3244,0.673,0.6912,0.4273,133071.6084,15206.3105,0.6669
142,0,0,1,0,0,0,1,1,1,0,0.8771,0.6802,0.3246,0.6711,0.69,0.3853,138833.96,15206.3008,0.6654
143,0,0,1,0,0,0,1,1,1,1,0.8771,0.6798,0.3245,0.6709,0.6899,0.3853,138971.3198,15206.3066,0.6653
144,0,0,1,0,0,1,0,0,0,0,0.8576,0.6013,0.3286,0.6586,0.6803,0.3367,169942.2387,15205.9258,0.658
145,0,0,1,0,0,1,0,0,0,1,0.8742,0.6876,0.331,0.6632,0.6888,0.3853,133878.5928,15189.2002,0.6546
146,0,0,1,0,0,1,0,0,1,0,0.8578,0.6411,0.3292,0.6589,0.6804,0.3755,154144.8705,15205.9355,0.6579
147,0,0,1,0,0,1,0,0,1,1,0.8726,0.4206,0.331,0.6604,0.6873,0.1078,204285.7065,15189.1963,0.6551
148,0,0,1,0,0,1,0,1,0,0,0.8729,0.6738,0.3302,0.6623,0.6864,0.3829,140135.341,15206.3164,0.655
149,0,0,1,0,0,1,0,1,0,1,0.874,0.689,0.331,0.6632,0.6886,0.3815,133820.6482,15189.2471,0.6543
150,0,0,1,0,0,1,0,1,1,0,0.8726,0.6312,0.3306,0.6617,0.6859,0.2941,157153.8406,15206.3193,0.6549
151,0,0,1,0,0,1,0,1,1,1,0.8741,0.6932,0.3313,0.6633,0.6886,0.391,131837.7625,15189.2441,0.6543
152,0,0,1,0,0,1,1,0,0,0,0.8629,0.6886,0.3233,0.6686,0.6853,0.4273,137894.1039,15240.2305,0.6679
153,0,0,1,0,0,1,1,0,0,1,0.8784,0.6943,0.3253,0.6721,0.6924,0.3861,132062.7648,15206.335,0.6653
154,0,0,1,0,0,1,1,0,1,0,0.862,0.6516,0.3232,0.6676,0.6839,0.3811,151029.4431,15240.2266,0.6678
155,0,0,1,0,0,1,1,0,1,1,0.8784,0.6957,0.3256,0.6721,0.6923,0.3853,131898.4074,15206.333,0.6652
156,0,0,1,0,0,1,1,1,0,0,0.8772,0.6798,0.3244,0.6712,0.69,0.3853,138271.4717,15206.3184,0.6656
157,0,0,1,0,0,1,1,1,0,1,0.8783,0.6985,0.3253,0.6722,0.6924,0.3868,130769.3618,15223.5352,0.6653
158,0,0,1,0,0,1,1,1,1,0,0.8776,0.6802,0.3253,0.6722,0.6906,0.3853,138247.6083,15223.4717,0.6666
159,0,0,1,0,0,1,1,1,1,1,0.8783,0.6985,0.3255,0.6721,0.6922,0.3868,130796.2228,15224.3779,0.6651
160,0,0,1,0,1,0,0,0,0,0,0.8593,0.6287,0.3303,0.6621,0.6827,0.3551,159288.4687,15343.1104,0.6619
161,0,0,1,0,1,0,0,0,0,1,0.8579,0.6418,0.3288,0.659,0.6806,0.3758,154343.2865,15205.9111,0.658
162,0,0,1,0,1,0,0,0,1,0,0.861,0.5572,0.3233,0.666,0.6828,0.2177,181601.2757,15223.0615,0.6681
163,0,0,1,0,1,0,0,0,1,1,0.8616,0.6724,0.3239,0.6672,0.6838,0.3959,144038.54,15223.0596,0.6671
164,0,0,1,0,1,0,0,1,0,0,0.8729,0.671,0.3303,0.6621,0.6863,0.3801,141610.8949,15206.3008,0.6548
165,0,0,1,0,1,0,0,1,0,1,0.8729,0.6714,0.3303,0.6621,0.6863,0.3815,141408.4544,15206.3047,0.6548
166,0,0,1,0,1,0,0,1,1,0,0.8766,0.6826,0.3255,0.6704,0.6897,0.3878,138154.8132,15206.2979,0.6646
167,0,0,1,0,1,0,0,1,1,1,0.8766,0.6851,0.3255,0.6704,0.6897,0.3903,137679.0984,15206.3057,0.6646
168,0,0,1,0,1,0,1,0,0,0,0.862,0.6509,0.3229,0.6676,0.684,0.3811,151491.0768,15223.0605,0.6678
169,0,0,1,0,1,0,1,0,0,1,0.8618,0.6478,0.3227,0.6672,0.6834,0.3783,152339.0828,15223.0596,0.6679
170,0,0,1,0,1,0,1,0,1,0,0.8622,0.6516,0.3226,0.6682,0.6841,0.3811,151225.4776,15223.0596,0.6685
171,0,0,1,0,1,0,1,0,1,1,0.8621,0.6516,0.3227,0.6679,0.684,0.3811,151256.7912,15223.0557,0.6682
172,0,0,1,0,1,0,1,1,0,0,0.8771,0.6777,0.3245,0.6711,0.69,0.3797,139747.9168,15206.2939,0.6654
173,0,0,1,0,1,0,1,1,0,1,0.8771,0.6795,0.3244,0.6711,0.6899,0.3853,139040.0424,15207.1348,0.6655
174,0,0,1,0,1,0,1,1,1,0,0.8782,0.7182,0.3246,0.6738,0.6913,0.4318,124433.4418,15216.209,0.6676
175,0,0,1,0,1,0,1,1,1,1,0.8783,0.7231,0.3251,0.6738,0.6917,0.4495,124627.7261,15207.6582,0.6675
176,0,0,1,0,1,1,0,0,0,0,0.8576,0.5889,0.3288,0.658,0.6801,0.2617,173370.8564,15205.9307,0.658
177,0,0,1,0,1,1,0,0,0,1,0.8727,0.4502,0.3309,0.6605,0.6875,0.1117,202439.008,15189.1943,0.6549
178,0,0,1,0,1,1,0,0,1,0,0.8615,0.6692,0.3238,0.667,0.6838,0.4111,144292.9981,15223.0781,0.6671
179,0,0,1,0,1,1,0,0,1,1,0.8776,0.6337,0.3263,0.6706,0.6919,0.3219,150843.1816,15206.3389,0.6647
180,0,0,1,0,1,1,0,1,0,0,0.8728,0.6721,0.3305,0.6621,0.6863,0.3822,140538.3612,15206.3184,0.6548
181,0,0,1,0,1,1,0,1,0,1,0.8743,0.7002,0.3314,0.664,0.6888,0.3938,130923.4925,15189.2412,0.655
182,0,0,1,0,1,1,0,1,1,0,0.8767,0.6844,0.3258,0.6704,0.6897,0.3864,136407.4287,15206.3193,0.6644
183,0,0,1,0,1,1,0,1,1,1,0.8767,0.5079,0.3262,0.6703,0.6911,0.1613,196329.4053,15206.3818,0.6644
184,0,0,1,0,1,1,1,0,0,0,0.8624,0.6513,0.3235,0.6686,0.6846,0.3811,151074.1831,15240.2344,0.669
185,0,0,1,0,1,1,1,0,0,1,0.8784,0.6939,0.3258,0.6722,0.6925,0.3861,132123.0472,15206.3369,0.6654
186,0,0,1,0,1,1,1,0,1,0,0.8622,0.6492,0.3229,0.6679,0.6839,0.3794,151861.4573,15240.2305,0.6682
187,0,0,1,0,1,1,1,0,1,1,0.879,0.6826,0.3251,0.6733,0.6949,0.4368,136339.705,15206.3369,0.6658
188,0,0,1,0,1,1,1,1,0,0,0.8772,0.6756,0.3247,0.6715,0.6898,0.3783,139022.2985,15206.3145,0.666
189,0,0,1,0,1,1,1,1,0,1,0.8793,0.7369,0.326,0.6744,0.6936,0.4329,116616.3069,15228.1426,0.6668
190,0,0,1,0,1,1,1,1,1,0,0.8773,0.6791,0.3245,0.6715,0.6899,0.3857,138610.7686,15206.3174,0.6658
191,0,0,1,0,1,1,1,1,1,1,0.8785,0.6981,0.3254,0.6725,0.6924,0.3868,130805.7326,15223.5361,0.6656
192,0,0,1,1,0,0,0,0,0,0,0.8756,0.7157,0.3408,0.6666,0.6979,0.4452,124561.0052,15206.0703,0.6548
193,0,0,1,1,0,0,0,0,0,1,0.8766,0.7164,0.3412,0.6683,0.6997,0.4452,125668.7644,15197.4502,0.6566
194,0,0,1,1,0,0,0,0,1,0,0.8753,0.7055,0.341,0.666,0.6975,0.4322,127576.1894,15206.0684,0.6547
195,0,0,1,1,0,0,0,0,1,1,0.8757,0.7055,0.3414,0.666,0.6984,0.4322,127574.8288,15188.3096,0.6547
196,0,0,1,1,0,0,0,1,0,0,0.8771,0.7175,0.3378,0.6693,0.701,0.4452,124348.7406,15215.7432,0.6581
